energy,flux,d_flux_high,d_flux_low
0.00011439799999999998,0.011427192932259819,-0.00150709222311941,0.0014784765479968869
0.000148983,0.0055801438894783955,-0.0005162842260170497,0.0006698197311397671
0.000198584,0.001684319031578893,-0.0001753641690461768,0.00017757996179585775
0.000255389,0.000726318340065372,-8.803858667459046e-05,8.53591514279725e-05
0.00033781400000000003,0.0002428383603669763,-3.751962054318596e-05,3.784778048962784e-05
0.00043794699999999995,0.00012802089351586813,-1.9980891870549844e-05,2.1282578637360887e-05
0.000566592,8.297994529625037e-05,-1.263752681409623e-05,1.3687413657113467e-05
0.0007421439999999998,4.004790422820261e-05,-6.572661135358666e-06,7.388577690092847e-06
0.000978951,2.7952934986780032e-05,-3.933730832249571e-06,4.142140412766098e-06
0.00126301,1.1933720744927058e-05,-2.637156649862569e-06,2.6449820405149826e-06
0.001653987,8.770186024972218e-06,-1.5925051627030728e-06,1.5833790586188128e-06
0.0021920029999999997,5.027108821516643e-06,-1.0703714906795121e-06,9.586579613124759e-07
0.0028264440000000004,4.490819489916783e-06,-8.047223511855056e-07,8.7035019341811e-07
0.003701924,2.267198288796936e-06,-4.563544968610952e-07,4.900573239745884e-07
0.004843757999999999,1.5722160173660423e-06,-3.6552027205768886e-07,3.788215920015645e-07
0.008182036,5.228472676495294e-07,-8.577380282410245e-08,9.285946479652844e-08
0.018293352,1.8289208732049997e-07,-4.017433776140698e-08,3.983861906145095e-08
0.040888621,3.24193644629231e-08,-1.0490374728329553e-08,8.989616493173518e-09
0.091438141,7.1590177807144094e-09,-2.8113515080469713e-09,3.227903324693338e-09
0.20149999999999998,2.0389849588561102e-09,-9.881329399522829e-10,1.0954317563938962e-09
